beach_id,point_id,status,location,source
praia-de-camburi,P01A,Próprio,Próximo ao Viaduto Araceli Cabreira Crespo,https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P02,Próprio,Praia de Camburi (Av. Dante Michelini - Esquina com Rua Silvino Grecco),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P02A,Próprio,Praia de Camburi (Av. Dante Michelini - A 100 metros à direita do 3º Píer – Jardim Camburi),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P03,Próprio,Praia de Camburi (Av. Dante Michelini - a 150 metros antes do 2º píer),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P04,Impróprio,Praia de Camburi (Av. Dante Michelini - Esquina com Av. Adalberto Simão Nader),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P05,Próprio,Praia de Camburi (Av. Dante Michelini - Esquina com Av. Nicolau Von Shilgen),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P06,Próprio,Praia de Camburi (Av.Dante Micheline - Esquina com a R.Comissário Otávio Queiroz),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P07,Próprio,Praia de Camburi (Av. Dante Michelini - Esquina com a R. Eugenílio Ramos),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P08,Próprio,Praia de Camburi (Av. Dante Micheline - 150 metros antes do 1° píer),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-camburi,P09,Interditado,Praia de Camburi (Canal de Camburi - 50 m após o 1° píer),https://www.vitoria.es.gov.br/balneabilidade.php
praia-do-canto,P10,Próprio,Praia do Canto (80 metros após o Iate Clube),https://www.vitoria.es.gov.br/balneabilidade.php
praia-do-canto,P11,Impróprio,Praia do Canto (80 metros antes da ponte da Ilha do Frade),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-santa-helena,P11A,Impróprio,Praia de Santa Helena / Enseada do Suá - 20 metros à direita da ponte da Ilha do Frade,https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-santa-helena,P12,Próprio,Praia de Santa Helena (100 metros após a ponte da Ilha do Frade),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-santa-helena,P12A,Próprio,Praça dos Desejos (em frente à Escola de Velas),https://www.vitoria.es.gov.br/balneabilidade.php
praia-de-santa-helena,P13,Próprio,Praia de Santa Helena (200 metros antes das barracas da Curva da Jurema),https://www.vitoria.es.gov.br/balneabilidade.php
praia-da-curva-da-jurema,P14,Próprio,Praia de Santa Helena (Em frente as barracas da Curva da Jurema),https://www.vitoria.es.gov.br/balneabilidade.php
praia-da-direita,P15,Próprio,Ilha do Frade (Praia da Direita),https://www.vitoria.es.gov.br/balneabilidade.php
praia-das-castanheiras,P16,Próprio,Ilha do Frade (Praia das Castanheiras),https://www.vitoria.es.gov.br/balneabilidade.php
praia-da-ilha-do-frade,P17,Próprio,"Ilha do Frade (R. Des. Alfredo Cabral ,em frente ao n° 1255)",https://www.vitoria.es.gov.br/balneabilidade.php
praia-do-nenel,P18,Próprio,Ilha do Boi (Praia do Nenel),https://www.vitoria.es.gov.br/balneabilidade.php
praia-grande,P19,Próprio,Ilha do Boi (Praia Grande),https://www.vitoria.es.gov.br/balneabilidade.php
