beach_id,temperature_c,apparent_temperature_c,precipitation_mm,precipitation_probability_percent,wind_kmh,uv_index,wave_height_m,cloud_cover_percent
jacaraipe,22.6,23.6,0.0,90.0,19.4,0.0,1.14,100.0
manguinhos,22.8,23.8,0.0,90.0,19.8,0.0,1.14,95.0
nova-almeida,22.6,24.1,0.0,19.0,15.9,0.0,1.8,94.0
praia-da-costa,22.5,23.5,0.0,90.0,18.4,0.0,1.64,82.0
praia-da-curva-da-jurema,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-da-ilha-do-frade,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-das-castanheiras,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-de-camburi,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-de-itaparica,22.5,23.5,0.0,90.0,18.4,0.0,1.64,82.0
praia-de-itapua-beverly-hills,22.5,23.5,0.0,90.0,18.4,0.0,1.64,82.0
praia-de-santa-helena,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-do-bananal,22.4,23.3,0.0,90.0,19.9,0.0,1.38,67.0
praia-do-canto,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-grande,22.5,23.4,0.0,90.0,19.9,0.0,1.38,67.0
praia-secreta,22.5,23.5,0.0,90.0,19.9,0.0,1.38,67.0
